Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Luxembourg,126252.2192,126096.4989,125517.5433,128135.9719,126526.092,125300.311,126182.7808,122742.4036,129515.1613,129459.5115
 MENA,24302.6,24506.8,24831.5,25324.3,25597.8,25702.4,25474.2,24577.6,25693.5,26733.8
 Macao,166805.9025,160221.1242,123327.4703,120102.7915,129360.7625,134935.6684,128903.9005,57741.4123,70212.391,54468.1213
 Madagascar,2727.8422,2723.6416,2713.6727,2726.1799,2737.6894,2731.2378,2758.6116,2480.6018,2543.191,2561.1746
 Malawi,2796.3689,2866.7004,2857.0623,2836.356,2854.3661,2880.7772,2934.2775,2856.076,2834.6552,2763.2184
 Malaysia,29685.3068,30654.1734,31427.5875,32064.7716,33179.0314,34063.3975,34855.9958,32316.2869,32782.2583,35009.4237
 Maldives,22689.0267,23110.874,22652.0189,22860.1655,23283.345,24192.6701,25025.8931,16391.2037,22202.1366,25148.8768
 Mali,3954.7447,4114.2249,4245.1187,4362.4912,4454.535,4523.7027,4592.3439,4389.368,4373.2207,4386.7332
 Malta,37297.9918,39144.1449,41762.4608,41953.5191,45156.5327,47111.9682,49054.146,43934.3546,48176.5418,50858.0482
 Marshall Islands,6501.1402,6537.4625,6739.7304,6977.0151,7339.8534,7918.7052,8549.0839,8488.9564,8671.6426,8643.537
 Mauritania,9284.0195,9403.0957,9619.3915,9452.5801,9745.4174,9903.5828,9905.3085,9571.5915,9352.9751,9639.0746
 Mauritius,22311.0033,22926.9324,23552.353,24252.8621,25008.6122,25833.8386,26386.2606,22360.6727,22951.6819,24819.9374
 Mexico,27086.2924,27154.4445,27301.7528,27230.3125,27213.936,27253.0779,26722.3265,24060.6083,25150.3715,25762.4136
 Micronesia,5421.9357,5314.7148,5433.5179,5431.5537,5461.5593,5402.7673,5335.7119,5110.7716,4930.1962,4802.7232
 Middle Africa,6265.1,6388.9,6310.8,6022.4,5848.8,5715.3,5613.7,5298.1,5264.1,5322.3
 Middle East,27084.5,27340.9,27631.6,28198.7,28341.3,28400.4,28176.1,27507.9,28738.6,30070.6
 Moldova,9197.0886,9851.6841,9996.9194,10641.4248,11260.1204,11889.0866,12471.0074,11561.4894,13316.2955,11834.9372
 Monaco,192558.3553,202036.686,207674.9067,211966.8932,205879.6641,218020.1006,233501.1993,203872.4777,250374.6198,280426.7346
 Mongolia,14299.9906,15135.4997,15213.3138,15173.3664,15772.6697,16737.04,17408.423,16366.9486,16407.0435,17017.4268
 Montenegro,19617.2564,19896.4329,20516.6641,21084.2445,22060.186,23172.0066,24115.7424,20436.6927,23101.0817,24556.6711
 Montserrat,54520.2744,54852.8367,55038.639,55151.6933,56346.1369,61723.5906,63097.2358,71220.7159,75677.444,77386.0389
 Morocco,10213.0126,10294.697,10553.7218,10428.5744,10773.2382,10928.5299,11078.5987,10132.2796,10784.4117,10763.5942
 Mozambique,2295.3857,2391.5323,2482.6835,2507.5175,2482.28,2482.9223,2457.0316,2345.792,2323.5325,2349.168
 Myanmar,4992.3881,5309.6564,5599.4601,5855.7431,6133.576,6437.2226,6777.8392,6089.7452,5293.7489,5438.5244
 Namibia,16587.478,17158.0613,17462.532,17074.4088,16531.2568,16346.5163,15862.9301,14270.4163,14503.2257,15378.8023
 Nauru,15137.5636,17148.9808,15890.0093,16823.9178,15412.4279,16298.0069,17333.4876,17780.6828,18052.1827,18150.0701
 Nepal,4737.0118,4951.898,5061.9769,4976.5713,5294.2943,5561.9482,5789.5037,5469.6902,5512.6371,5647.8362
 Netherlands,58102.1285,58286.9024,58966.7528,59756.63,61249.3431,62234.1506,62968.9699,59865.8551,64511.5736,66890.56
 New Caledonia,2972235.2007,2962060.2209,2942845.9909,2908683.7478,2934615.8552,3032889.865,2970786.4224,2871744.253,2781709.0819,2843156.7347
 New Zealand,44222.3571,44917.6959,46235.1103,47499.4229,49099.1471,49668.3103,49406.3514,47887.5102,49537.8751,50273.9158
 Nicaragua,7969.2853,8138.7521,8317.4253,8486.1197,8669.8223,8186.8434,7773.0692,7471.4985,8067.6136,8187.3355
 Niger,2306.5796,2373.1508,2386.3906,2427.9159,2454.3839,2534.4145,2586.2553,2580.8545,2521.5845,2707.7021
